"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 16 20:43:33 CST 2022","Sat Apr 16 20:43:34 CST 2022","1000","test_51job","test_case1","","","","test_no_fixture[2]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","1","","test_allure_attach","","","","成功登录，测试数据是：('name2', 'pwd2')",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_allure_attach","","","","多个参数1,2,3",""
"passed","Sat Apr 16 20:43:42 CST 2022","Sat Apr 16 20:43:43 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_01[1]",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","1","test_allure","test_allure_2","TestAllureALL","","","test_case_2",""
"passed","Sat Apr 16 20:43:49 CST 2022","Sat Apr 16 20:43:50 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_02[3]",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_story_feature","","","","test_without_any_annotations_that_wont_be_executed",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","1","test_allure","test_story_feature","","","","test_with_epic_1",""
"passed","Sat Apr 16 20:43:38 CST 2022","Sat Apr 16 20:43:39 CST 2022","1001","test_toutiao","test_case2","","","","test_no_fixture[2]",""
"passed","Sat Apr 16 20:43:41 CST 2022","Sat Apr 16 20:43:42 CST 2022","1001","test_weibo","test_case3","TestWeibo","","","test_case1_01[0]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_allure_attach","","","","多个参数7,8,9",""
"passed","Sat Apr 16 20:43:45 CST 2022","Sat Apr 16 20:43:46 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_01[4]",""
"passed","Sat Apr 16 20:43:40 CST 2022","Sat Apr 16 20:43:41 CST 2022","1000","test_toutiao","test_case2","","","","test_no_fixture[4]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","1","","test_allure_step","","","","test_with_nested_steps",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_allure_2","TestAllureALL","","","用例的标题","
        学习-小菠萝测试笔记地址：https://www.cnblogs.com/poloyy/
        "
"passed","Sat Apr 16 20:43:35 CST 2022","Sat Apr 16 20:43:36 CST 2022","1000","test_51job","test_case1","","","","test_no_fixture[4]",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_story_feature","","","","test_with_story_2_and_feature_2",""
"passed","Sat Apr 16 20:43:43 CST 2022","Sat Apr 16 20:43:44 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_01[2]",""
"passed","Sat Apr 16 20:43:32 CST 2022","Sat Apr 16 20:43:33 CST 2022","1000","test_51job","test_case1","","","","test_no_fixture[1]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_allure_attach","","","","test_with_attacments_in_fixture_and_finalizer","
这是一个@allure.description装饰器
没有特别的用处
"
"passed","Sat Apr 16 20:43:44 CST 2022","Sat Apr 16 20:43:45 CST 2022","1001","test_weibo","test_case3","TestWeibo","","","test_case1_01[3]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_pytest_allure_link","","","","test_with_testcase_link",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","1","","test_allure_attach","","","","test_multiple_attachments",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_pytest_allure_link","","","","test_with_named_link",""
"passed","Sat Apr 16 20:43:46 CST 2022","Sat Apr 16 20:43:47 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_02[0]",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:37 CST 2022","1000","test_toutiao","test_case2","","","","test_no_fixture[0]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_pytest_allure_link","","","","test_with_link",""
"passed","Sat Apr 16 20:43:48 CST 2022","Sat Apr 16 20:43:49 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_02[2]",""
"passed","Sat Apr 16 20:43:39 CST 2022","Sat Apr 16 20:43:40 CST 2022","1000","test_toutiao","test_case2","","","","test_no_fixture[3]",""
"passed","Sat Apr 16 20:43:50 CST 2022","Sat Apr 16 20:43:51 CST 2022","1000","test_weibo","test_case3","TestWeibo","","","test_case1_02[4]",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_allure_2","TestAllureALL2","","","test_case_3",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_allure_2","TestAllureALL2","","","test_case_4",""
"passed","Sat Apr 16 20:43:37 CST 2022","Sat Apr 16 20:43:38 CST 2022","1000","test_toutiao","test_case2","","","","test_no_fixture[1]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:32 CST 2022","1001","test_51job","test_case1","","","","test_no_fixture[0]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","1","","test_allure_attach","","","","成功登录，测试数据是：('name1', 'pwd1')",""
"passed","Sat Apr 16 20:43:47 CST 2022","Sat Apr 16 20:43:48 CST 2022","1001","test_weibo","test_case3","TestWeibo","","","test_case1_02[1]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","1","","test_pytest_allure_link","","","","test_with_issue_link",""
"passed","Sat Apr 16 20:43:34 CST 2022","Sat Apr 16 20:43:35 CST 2022","1001","test_51job","test_case1","","","","test_no_fixture[3]",""
"passed","Sat Apr 16 20:43:31 CST 2022","Sat Apr 16 20:43:31 CST 2022","0","","test_allure_attach","","","","多个参数4,5,6",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_story_feature","","","","test_with_story_1",""
"passed","Sat Apr 16 20:43:36 CST 2022","Sat Apr 16 20:43:36 CST 2022","0","test_allure","test_story_feature","","","","test_with_story_2",""
